,Countries,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Liberia,3.809670052,4.744132338,5.259374881,6.126649856,7.946963176,9.36698516,10.37426364,10.04677562,11.82077415,11.44044818,12.74494943,13.0206646,16.75235379,16.97640791,no data,no data,no data
84,Lithuania,51.90324118,64.69341005,83.10072282,84.34384568,86.75730841,78.45715366,68.61277509,65.277969,62.3046496,58.33855002,59.9324688,63.16138638,64.3641946,64.14748609,63.59018336,61.11668831,64.48176429
85,Luxembourg,207.9779136,214.9027067,334.4526564,317.7537391,363.1535414,330.9411901,346.6972299,359.6016868,363.3360152,381.9946593,388.4441768,377.6928948,375.0756419,381.7190228,400.5894351,416.7938313,385.4351518
86,Madagascar,8.495638304,8.694835334,8.750117791,9.804110316,10.23871831,10.22718461,9.430438845,9.437290572,10.18554331,10.97548406,11.46893173,11.05506693,12.6306039,12.92502648,14.04696957,16.32610478,17.86717281
87,Malawi,2.871235799,3.623928886,3.890770076,6.47263007,7.723565068,9.822172813,9.895160322,10.35103885,8.844489848,8.099173758,8.667008829,7.354107946,no data,no data,no data,no data,no data
88,Malaysia,117.5474726,114.45875,114.0913219,107.4524464,127.8055712,123.7236861,127.6091502,129.3466897,137.6294606,137.5432433,143.9460712,142.8518797,142.3593098,139.9670981,139.1063035,158.6551995,150.6841007
89,Maldives,37.80762583,41.49905694,52.15391686,55.55945743,51.44050308,45.69285612,39.5782247,32.59086412,28.79447599,26.3720644,26.57584187,27.53574243,28.19209985,28.124339,28.60571313,46.95787842,34.91161496
90,Mali,14.6818997,15.32156318,16.10946266,11.81812383,16.32337635,17.86766515,18.25997868,19.41135576,20.78244141,21.95325043,24.88256107,26.31227965,25.85396224,25.53204532,24.41026028,25.89602664,28.45681002
91,Malta,159.7033524,158.9282849,180.2210844,195.8742969,217.9437041,218.4569861,230.8783846,225.5005798,212.8167898,206.4528323,199.8877631,201.1027281,197.8584367,203.8810947,219.1614425,233.7887691,216.7768884
92,Mauritania,18.40148131,14.61742261,16.29917868,19.20839421,19.97772334,18.27540307,16.59344738,16.76638119,18.34583983,19.52029977,21.11557839,20.29890976,21.06657412,22.40390056,22.73825746,no data,no data
93,Mauritius,no data,no data,71.04363392,77.58957548,77.51556716,83.93734249,90.06499351,94.45208297,97.08103693,92.06759643,95.14218187,89.64733201,89.50462515,81.47,81.14,94.93,85.46
94,Mexico,24.02601221,25.54437469,28.21785201,29.92447224,30.24506887,29.81964333,31.85683159,31.95605278,35.10582617,36.52396124,39.7154509,42.76495337,42.5402148,41.78151662,41.18124478,44.20812659,40.99797848
95,"Micronesia, Fed. States of",19.76952077,20.68107902,21.00237217,19.87231287,21.08714026,20.58872207,19.49845692,19.33514442,19.65169608,21.16758707,22.830109,22.63162332,22.76262755,19.82050314,21.67443411,21.88393807,no data
96,Moldova,23.36430349,27.22968354,36.62604224,36.2105518,35.67775655,27.674478,27.65064122,31.7801107,33.39942409,28.30874129,26.3501226,21.95629379,19.53448152,19.14174377,19.90230395,23.03361268,23.1859833
97,Mongolia,31.0490893,33.18766413,46.0372865,45.01850684,46.48548907,39.49832584,53.10676996,49.18033862,62.91791135,63.39968707,62.33098384,85.39579764,78.24998209,79.92659605,76.97619293,76.34786883,75.16354371
98,Morocco,44.79930839,45.93056528,54.32851675,58.95733579,61.49696716,64.99405703,68.24944227,69.19876685,66.67151236,67.12984937,64.23849469,65.50432475,64.66649837,63.36698819,63.98818512,71.74327325,66.51627437
99,Mozambique,8.907342023,9.938784932,10.16748977,14.09722629,19.84821414,21.78618219,20.75479891,22.3576638,26.11602551,30.09023591,31.88597208,30.96160855,23.8129784,21.42900153,20.53689403,23.44014024,22.39323954
100,Myanmar,4.647748633,3.881447856,3.439530089,3.106684878,3.527186889,5.061430073,7.232806109,9.62369864,13.41916514,16.37027868,18.96421815,23.48862899,26.24543411,27.78647417,27.98645644,26.70632828,no data
101,Nepal,24.72823677,28.58158611,32.22574054,44.85071607,51.48825249,47.48792938,45.9671063,48.30907409,50.10692152,54.13192224,56.59151782,69.53267638,68.25998586,75.94562223,78.61090713,88.10863687,105.0820515
102,Netherlands,236.6025091,232.5153196,231.9040005,234.6828946,250.9911306,263.824671,275.3516135,280.3364953,280.3191095,287.0572994,284.7969879,284.4588099,274.1250376,263.8442248,249.7009427,252.8427052,247.7303832
103,New Zealand,172.908919,184.0615993,190.8250422,199.3222558,195.5385762,186.8675291,177.9558121,178.9949707,175.2795096,173.5729378,175.2236577,177.2084481,173.9840548,172.7318102,170.2655182,173.9478958,171.5321227
104,Nicaragua,22.5502809,26.38782384,30.12195342,28.14050704,25.38080269,24.26500254,23.94891085,26.74205638,29.36940819,31.17096558,34.14489163,36.69388421,39.08374547,35.96785648,30.07652962,27.9386223,25.7850756
105,Niger,3.826515027,3.751566143,6.968051545,7.962040673,8.800236581,8.928791981,9.778993191,9.860429143,10.35367375,10.58844696,11.16097887,11.41156767,11.29242807,10.0615845,11.06781523,11.48479888,12.66624432
106,Nigeria,8.258703866,7.999875441,13.45579789,18.17888303,18.59841526,12.82119983,10.59333687,10.27545934,11.30951499,13.05414364,12.92068161,14.43855642,12.26718781,9.850691405,10.10752452,10.94761851,11.91626827
107,North Macedonia ,34.96587101,48.37556833,60.36607049,71.16069496,75.24526708,76.4227724,77.65151973,82.82730683,82.19719553,85.18672929,88.33621691,90.70947566,91.56199378,91.71325099,92.8082318,99.48094855,98.79717071
108,Norway,181.5615881,183.1702248,201.5623531,215.9664546,225.2842826,225.6632217,218.630113,225.7911043,223.5361211,229.6483969,249.6797023,256.4659274,245.5518055,234.0883818,248.8090868,281.1553135,238.3103048
109,Oman,40.58178611,38.80659359,45.85465497,41.93914045,54.60616013,48.32740024,45.47170316,45.09319129,45.54146596,47.70427885,68.85026153,79.36011094,84.97972244,78.61923205,85.62122928,103.9117359,93.02529615
110,Pakistan,22.93462091,23.84097231,24.65138699,26.01332352,21.82082447,20.37967759,17.10592416,15.90235112,14.80718714,13.67356703,15.13811479,17.49612351,19.54071309,22.13875207,23.39235458,23.91080918,23.49263545
111,Papua New Guinea,9.275371249,11.32615305,13.84652031,16.14569395,18.25962363,17.88601471,17.53401952,18.87375147,20.62587946,17.8657649,17.60205705,17.39990014,15.02465384,14.7586722,14.49982774,14.82883856,13.65340303
112,Paraguay,18.99478068,16.34930613,17.08514191,20.9953587,23.85357424,27.46650023,30.99596132,33.98656365,35.96929384,39.85991128,45.21380836,42.99118947,42.04487123,44.66281643,48.96591433,52.54980176,53.54792889
113,Peru,20.94630289,20.76945733,25.81790881,29.91970718,29.99423172,30.25269816,33.16347897,34.58199693,38.00172788,43.18523198,49.27395889,50.99252974,56.36534502,58.09419747,58.07317122,71.47072557,62.56822716
114,Philippines,34.48366864,32.90672195,31.70558022,33.85536918,35.67224316,35.89324129,38.01367706,40.62354464,44.35644876,48.61364035,51.98472372,53.98539758,55.98257026,57.82221761,57.53799151,64.7158618,62.43459784
115,Poland,43.31154299,49.95065602,56.85182274,69.72311443,69.53046392,72.60246184,76.66232253,76.95166764,79.20641706,82.33588169,83.55754203,86.5144309,81.92288947,81.62724982,78.60171595,80.48931762,76.12199784
116,Portugal,180.8641543,184.2399032,193.9009616,206.2887906,215.3880709,217.9946863,223.2012957,231.600232,220.1407336,208.2457642,196.7006319,184.3006963,176.7232074,167.0606216,160.8883884,176.4413069,172.1230199
117,Qatar,52.59512746,60.8397155,72.78185345,70.40394755,97.63369476,85.33911769,64.04266182,55.5710113,58.76661515,63.77439387,91.36215037,99.9753153,99.25345338,98.67675829,118.6148842,157.4640571,142.0705655
118,Romania,21.62045299,29.35788244,38.36197254,41.91150769,42.97279627,42.95521437,41.99479368,38.6363361,34.02448592,30.51531181,29.9104913,28.55848038,27.5962345,27.20998348,26.17258182,27.83111916,27.17308757
119,Russian Federation,44.54816251,48.15345125,59.62933103,65.61089867,70.42219895,63.08981707,63.51076288,69.35757099,81.4038709,98.01103632,103.7711687,99.45446476,99.18851913,97.36890981,96.09630293,113.643614,101.6024043
120,Rwanda,9.798144254,11.26566849,11.32805115,12.54346601,10.58456256,10.87239784,13.05517794,15.54500411,16.02893418,17.34748214,20.68128527,20.21194256,20.31083146,21.08736197,21.14274944,24.78221747,25.06396641
121,Saint Lucia,62.57064203,69.7501805,86.02207172,89.56810129,93.64911138,90.88050583,88.17064928,92.84461889,89.39734119,79.35222595,70.92141487,64.15132186,58.92658432,56.00879162,53.98947508,77.65191156,69.53821724
122,Saint Vincent and the Grenadines,43.31345777,44.61127552,46.2682263,46.40558407,48.55204943,49.00963673,50.19524721,51.49668556,49.75579181,49.25441114,49.46086084,48.05936743,46.5097799,44.43159449,43.62872032,47.10549936,46.64996599
123,Samoa,35.02914399,38.45249513,36.57744362,35.52198355,35.16715659,37.89127116,39.41539507,40.08222927,39.68919826,42.79059233,42.21030489,44.64023947,45.31666095,46.98747159,47.44869781,48.98008009,53.74173733
124,Saudi Arabia,42.47389945,41.22717556,47.50349115,48.10519216,56.30762679,48.41600906,40.93041186,40.31070673,46.12854569,50.94517646,65.24465297,67.47341672,62.79141227,55.07392805,61.52331802,79.87720391,76.99595292
125,Senegal,15.52186597,15.65983038,16.04907707,18.72939288,19.26778749,21.16290053,23.70812569,24.25352066,26.1211625,27.15224257,27.13820214,27.60526285,29.47436356,29.50539287,29.47603699,29.30046096,28.83690189
126,Serbia,31.2997029,31.05381868,41.19305281,47.04092366,49.06333328,51.69697417,45.68492943,46.83665567,40.14065202,39.37639167,40.47314295,40.10379246,44.42729441,47.18470336,48.78554206,54.70826861,53.26207054
127,Sierra Leone,3.229743783,3.338291385,4.284591947,5.5379088,8.158144899,7.771237572,7.622130868,6.176404999,4.714646367,4.843401824,5.21635591,5.438212809,5.017180269,5.592054515,6.093362075,5.881631278,7.090160146
